A  a
EXPLOSION  e^ k s p l o z j o~
EXPOSAIT  e^ k s p o z e^
EXPOSER  e^ k s p o z e r
EXPOSER  e^ k s p o z e
EXPOSIEZ  e^ k s p o z j e z
EXPOSÉ  e^ k s p o z e
EXPOSÉE  e^ k s p o z e
EXPOSÉS  e^ k s p o z e
EXPRESSION  e^ k s p r e s j o~
EXPRESSIVE  e^ k s p r e s i v q
EXPRIMAIENT  e^ k s p r i m e^
EXPRIMAIENT  e^ k s p r i m e^ t
EXPRIMAIT  e^ k s p r i m e^
EXPRIMAIT  e^ k s p r i m e^ t
EXPRIME  e^ k s p r i m
EXPRIMENT  e^ k s p r i m
EXPRIMER  e^ k s p r i m e
EXPRIMÉE  e^ k s p r i m e
EXPRÈS  e^ k s p r e^
EXPÉDIAIENT  e^ k s p e d j e^
EXPÉDIENTS  e^ k s p e d j a~
EXPÉDIEZ  e^ k s p e d j e
EXPÉDITION  e^ k s p e d i s j o~
EXPÉRIENCE  e^ k s p e r j a~ s
EXQUIS  e^ k s k i
EXQUISE  e^ k s k i z
EXQUISE  e^ k s k i z q
EXQUISES  e^ k s k i z q
EXTASE  e^ k s t a z
EXTRAORDINAIRE  e^ k s t r a o^ r d i n e^ r
EXTRAORDINAIREMENT  e^ k s t r a o^ r d i n e^ r m a~
EXTRAORDINAIRES  e^ k s t r a o^ r d i n e^ r
EXTRÉMITÉ  e^ k s t r e m i t e
EXTRÉMITÉS  e^ k s t r e m i t e
EXTRÊME  e^ k s t r e^ m
EXTRÊME  e^ k s t r e^ m q
EXTRÊMEMENT  e^ k s t r e^ m x^ m a~
EXTRÊMES  e^ k s t r e^ m
EXTRÊMES  e^ k s t r e^ m q
EXTÉRIEUR  e^ k s t e r j x^ r
EXTÉRIEUREMENT  e^ k s t e r j x^ r m a~ t
EXÉCRABLE  e^ k s e k r a b l q
EXÉCRABLE  e^ k s e k r a b l
EXÉCRAIT  e^ k s e k r e^
EXÉCUTANTE  e^ g z e k y t a~ t
EXÉCUTER  e^ g z e k y t e
EXÉCUTION  e^ g z e k y s j o~
EXÉCUTÉ  e^ g z e k y t e
EXÉCUTÉE  e^ g z e k y t e
EXÉCUTÉS  e^ g z e k y t e
EÛT  y
EÛT  y t
EÛT-IL  y t i l
FABLE  f a b l q
FABRICANT  f a b r i k a~
FABRICANTS  f a b r i k a~
FABRICATION  f a b r i k a s j o~
FABRIQUE  f a b r i k
FABRIQUENT  f a b r i k
FABULEUSE  f a b y l x z
FABULEUSES  f a b y l x z
FACE  f a s
FACES  f a s
FACETTE  f a s e^ t
FACETTES  f a s e^ t
FACILE  f a s i l
FACILE  f a s i l q
FACILEMENT  f a s i l m a~
FACILEMENT  f a s i l m a~ t
FACILITAIT  f a s i l i t e^ t
FACILITER  f a s i l i t e
FACTEUR  f a k t x^ r
FACTICE  f a k t i s
FACTION  f a k s j o~
FACTURE  f a k t y r
FACULTÉ  f a k y l t e
FACULTÉS  f a k y l t e z
FACÉTIEUSE  f a s e s j x z q
FAGOT  f a g o^
FAGOT  f a g o
FAGOTS  f a g o
FAIBLE  f e^ b l
FAIBLE  f e^ b l q
FAIBLEMENT  f e^ b l x^ m a~
FAIBLES  f e^ b l
FAIBLESSE  f e^ b l e^ s
FAIBLESSES  f e^ b l e^ s
FAIBLIR  f e b l i r
FAIBLISSANT  f e b l i s a~ t
FAIBLISSONS  f e b l i s o~
FAIBLIT  f e b l i t
FAILLI  f a j i
FAILLIRA  f a j i r a
FAILLIT  f a j i
FAILLITE  f a j i t
FAIM  f e~
FAINÉANT  f e n e a~
FAINÉANTISE  f e n e a~ t i z
FAIRE  f e^ r
FAIRE  f e^ r x^
FAIRE-VALOIR  f e^ r v a l w a r
FAIS  f e^
FAIS  f e^ z
FAIS-TU  f e^ t y
FAISAIENT  f x^ z e^ t
FAISAIENT  f x^ z e^
FAISAIENT-ELLES  f x^ z e^ t e^ l
FAISAIS  f x^ z e^
FAISAIS  f x^ z e^ z
FAISAIS-TU  f x^ z e^ t y
FAISAIT  f x^ z e^ t
FAISAIT  f x^ z e^
FAISAIT-IL  f x^ z e^ t i l
FAISANT  f x^ z a~ t
FAISANT  f x^ z a~
FAISIEZ  f x^ z j e
FAISIEZ-VOUS  f e z j e v u
FAISIONS  f e^ z j o~
FAISIONS  f e^ z j o~ z
FAISONS  f x^ z o~
FAISONS  f x^ z o~ z
FAISONS-NOUS  f x^ z o~ n u
FAIT  f e^
FAIT  f e^ t
FAIT-ELLE  f e^ t e^ l
FAIT-IL  f e^ t i l
FAITE  f e^ t
FAITE  f e^ t q
FAITES  f e^ t
FAITES  f e^ t z
FAITES-MOI  f e^ t m w a
FAITES-VOUS  f e^ t v u
FAITES-Y  f e^ t z i
FAITS  f e^ z
FAITS  f e^
FALLAIT  f a l e^
FALLAIT  f a l e^ t
FALLAIT-IL  f a l e^ t i l
FALLOIR  f a l w a r
FALLU  f a l y
FALLUT  f a l y
FALLUT  f a l y t
FALSIFIÉ  f a l s i f j e
FAMEUSE  f a m x z
FAMEUSEMENT  f a m x z m a~ t
FAMEUSES  f a m x z
FAMEUX  f a m x
FAMEUX  f a m x z
FAMILIARITÉ  f a m i l j a r i t e
FAMILIER  f a m i l j e r
FAMILIER  f a m i l j e
FAMILIÈREMENT  f a m i l j e^ r m a~
FAMILLE  f a m i j
FAMILLE  f a m i j q
FAMILLES  f a m i j
FAMILLES  f a m i j z
FANATISME  f a n a t i s m x^
FANFARON  f a~ f a r o~
FANGE  f a~ z^
FANGE  f a~ z^ q
FANGEUSE  f a~ z^ x z
FANGEUX  f a~ z^ x z
FANTAISIE  f a~ t e^ z i
FANTAISISTES  f a~ t e^ z i s t
FANTASMAGORIE  f a~ t a s m a g o^ r i
FANTASTIQUE  f a~ t a s t i k
FANTASTIQUES  f a~ t a s t i k
FANTÔME  f a~ t o m
FANTÔMES  f a~ t o m
FARCE  f a r s
FARCE  f a r s q
FARCE-LÀ  f a r s q l a
FARCES  f a r s q
FARCEUR  f a r s x^ r
FARDEAU  f a r d o
FARNIENTE  f a r n j e^ n t e
FAROUCHE  f a r u s^
FASCINA  f a s i n a
FASCINATRICE  f a s i n a t r i s
FASCINE  f a s i n q
FASCINER  f a s i n e
FASSE  f a s
FASSES  f a s
FASSIEZ  f a s j e
FASSIEZ  f a s j e z
FASTE  f a s t
FASTES  f a s t q
FATAL  f a t a l q
FATAL  f a t a l
FATALE  f a t a l
FATALEMENT  f a t a l x^ m a~
FATALEMENT  f a t a l m a~
FATALITÉ  f a t a l i t e
FATIDIQUE  f a t i d i k
FATIGUAIT  f a t i g e^
FATIGUANT  f a t i g a~
FATIGUE  f a t i g q
FATIGUE  f a t i g
FATIGUES  f a t i g q
FATIGUES  f a t i g
FATIGUEZ  f a t i g e
FATIGUÉ  f a t i g e
FATIGUÉE  f a t i g e
FATIGUÉS  f a t i g e
FATIGUÉS  f a t i g e z
FATUITÉ  f a t h i t e
FAUBLAS  f o b l a
FAUBOURG  f o b u r
FAUBOURGS  f o b u r
FAUCHANTS  f o s^ a~
FAUCHE  f o s^
FAUCHER  f o s^ e
FAUCHÉ  f o s^ e
FAUDRA  f o d r a
FAUDRA-T-IL  f o d r a t i l
FAUDRAIT  f o d r e^
FAUDRAIT  f o d r e^ t
FAUNE  f o n
FAUSSAIRE  f o s e^ r
FAUSSAIRES  f o s e^ r
FAUSSE  f o s
FAUSSE  f o s q
FAUSSEMENT  f o s x^ m a~ t
FAUSSES  f o s
FAUSSES  f o s q
FAUSSET  f o s e^
FAUSSETÉ  f o s x^ t e
FAUSSETÉ  f o s t e
FAUT  f o
FAUT  f o t
FAUT-IL  f o t i l
FAUTE  f o t
FAUTE  f o t q
FAUTES  f o t q
FAUTES  f o t
FAUTES  f o t z
FAUTEUIL  f o t x^ j
FAUTEUILS  f o t x^ j
FAUTEURS  f o t x^ r
FAUVE  f o v
FAUVE  f o v q
FAUVES  f o v
FAUVES  f o v q
FAUVES  f o v x^ z
FAUX  f o z
FAUX  f o
FAUX-COL  f o k o^ l
FAVEUR  f a v x^ r
FAVEUR  f a v x^ r q
FAVORABLE  f a v o^ r a b l
FAVORABLE  f a v o^ r a b l q
FAVORI  f a v o^ r i
FAVORIS  f a v o^ r i
FAVORISANT  f a v o^ r i z a~
FAVORISER  f a v o^ r i z e r
FAVORISER  f a v o^ r i z e
FAVORISÉE  f a v o^ r i z e
FAVORITE  f a v o^ r i t
FAÇADE  f a s a d q
FAÇADE  f a s a d
FAÇON  f a s o~
FAÇONNER  f a s o^ n e
FAÇONNÉE  f a s o^ n e
FAÇONS  f a s o~
FAÇONS  f a s o~ z
FAÎTE  f e^ t
FAÏENCE  f a j a~ s
FEIGNAIT  f e n j e^
FEIGNANT  f e^ n j a~
FEIGNEZ  f e n j e
FEIGNIT  f e^ n~ i
FEINDRE  f e~ d r
FEINTE  f e~ t
FEMELLE  f x^ m e^ l q
FEMELLES  f x^ m e^ l z
FEMME  f a m
FEMME  f a m q
FEMMES  f a m z
FEMMES  f a m q
FEMMES  f a m
FEND  f a~
FENDENT  f a~ d q
FENDRE  f a~ d r
FENDRE  f a~ d r q
FENDS  f a~
FENDUES  f a~ d y
FENTE  f a~ t q
FENTES  f a~ t q
FENÊTRE  f x^ n e^ t r
FENÊTRE  f x^ n e^ t r q
FENÊTRES  f x^ n e^ t r
FENÊTRES  f x^ n e^ t r x^ z
FENÊTRES  f x^ n e^ t r q
FENÊTRES  f x^ n e^ t r x^
FENÊTRES  f x^ n e^ t r q z
FER  f e^ r
FERA  f x^ r a
FERAI  f x^ r e
FERAI-JE  f x^ r e z^
FERAIENT-ILS  f x^ r e^ t i l
FERAIS  f x^ r e^ z
FERAIS  f x^ r e^
FERAIT  f x^ r e^
FERAIT  f x^ r e^ t
FERAIT  f r e^
FERAS  f x^ r a
FERAS-TU  f x^ r a t y
FEREZ  f x^ r e
FEREZ  f x^ r e z
FEREZ  f r e
FEREZ-VOUS  f x^ r e v u
FERIEZ  f x^ r j e
FERIONS  f x^ r j o~ z
FERIONS  f x^ r j o~
FERLAMPIER  f e^ r l a~ p j e
FERMA  f e^ r m a
FERMAGE  f e^ r m a z^ q
FERMAGE  f e^ r m a z^
FERMAGES  f e^ r m a z^
FERMAIENT  f e^ r m e^
FERMAIT  f e^ r m e^ t
FERMAIT  f e^ r m e^
FERMANT  f e^ r m a~
FERMANT  f e^ r m a~ t
FERME  f e^ r m q
FERME  f e^ r m
FERMEMENT  f e^ r m x^ m a~
FERMENT  f e^ r m t
FERMENT  f e^ r m a~
FERMENT  f e^ r m a~ t
FERMER  f e^ r m e
FERMERAIT  f e^ r m x^ r e^
FERMES  f e^ r m x^ z
FERMES  f e^ r m q
FERMETÉ  f e^ r m x^ t e
FERMIER  f e^ r m j e
FERMIERS  f e^ r m j e
FERMIÈRE  f e^ r m j e^ r
FERMIÈRES  f e^ r m j e^ r
FERMÈRENT  f e^ r m e^ r
FERMÉ  f e^ r m e
FERMÉE  f e^ r m e
FERMÉS  f e^ r m e
FERONS  f x^ r o~
FERONS  f x^ r o~ z
FERONS-NOUS  f x^ r o~ n u z
FERONS-NOUS  f x^ r o~ n u
FERONT  f x^ r o~
FERRAILLES  f e^ r a j
FERRAND  f e^ r a~
FERRÉE  f e r e
FERRÉES  f e r e
FERRÉS  f e r e z
FERS  f e^ r
FERS  f e^ r z
FERTILES  f e^ r t i l
FESTINS  f e^ s t e~
FESTONNENT  f e^ s t o^ n
FESTONNÉ  f e^ s t o^ n e
FEU  f x
FEUILLAGE  f x^ j a z^
FEUILLAGE  f x^ j a z^ q
FEUILLE  f x^ j
FEUILLES  f x^ j z
FEUILLES  f x^ j
FEUILLES  f x^ j q
FEUILLETER  f x^ j t e
FEUILLETS  f x^ j e^
FEUILLUS  f x^ j y
FEUX  f x
FI  f i
FIACRE  f j a k r q
FIACRE  f j a k r
FIACRE  f j a k r x^
FIACRES  f j a k r
FIACRES  f j a k r q
FIANCÉ  f j a~ s e
FIANT  f j a~
FICELÉ  f i s x^ l e
FICELÉE  f i s x^ l e
FICELÉS  f i s q l e
FICELÉS  f i s x^ l e
FICHERAI  f i s^ r e
FICHU  f i s^ y
FICHUE  f i s^ y
FICHUS  f i s^ y
FIDÈLE  f i d e^ l
FIDÈLEMENT  f i d e^ l m a~
FIDÈLES  f i d e^ l x^ z
FIDÈLES  f i d e^ l
FIDÈLES  f i d e^ l q
FIDÉICOMMIS  f i d e i k o^ m i
FIDÉLITÉ  f i d e l i t e
FIE  f i
FIER  f j e^ r
FIER  f j e r
FIERS  f j e^ r
FIERTÉ  f j e^ r t e
FIEZ-VOUS  f j e v u z
FIEZ-VOUS-EN  f j e v u z a~
FIFI  f i f i
FIGARO  f i g a r o
FIGNOLÉ  f i n j o^ l e
FIGUIERS  f i g j e
FIGURAIENT  f i g y r e^
FIGURAIS  f i g y r e^
FIGURAIT  f i g y r e^
FIGURANT  f i g y r a~
FIGURANT  f i g y r a~ t
FIGURANTES  f i g y r a~ t
FIGURE  f i g y r
FIGURE  f i g y r q
FIGURE-TOI  f i g y r t w a
FIGURENT  f i g y r
FIGURER  f i g y r e
FIGURES  f i g y r
FIGUREZ  f i g y r e
FIGUREZ-VOUS  f i g y r e v u
FIL  f i l q
FIL  f i l
FILAIENT  f i l e^
FILANT  f i l a~
FILASSE  f i l a s
FILE  f i l
FILE  f i l q
FILER  f i l e
FILERONS  f i l r o~
FILET  f i l e^
FILETS  f i l e^
FILETS  f i l e^ z
FILIALE  f i l j a l
FILLE  f i j
FILLE  f i j q
FILLES  f i j
FILLES  f i j z
FILLES  f i j q
FILLETTE  f i j e^ t q
FILLEULE  f i j x^ l
FILOCHE  f i l o^ s^
FILONS  f i l o~
FILOU  f i l u
FILOUTER  f i l u t e
FILS  f i s
FILS  f i l z
FILS  f i l
FILTRÉE  f i l t r e
FILÉ  f i l e
FIN  f e~
FINALEMENT  f i n a l m a~
FINANCE  f i n a~ s
FINANCIER  f i n a~ s j e
FINAUD  f i n o
FINE  f i n
FINE  f i n q
FINEMENT  f i n m a~
FINEMENT  f i n x^ m a~
FINES  f i n z
FINES  f i n q
FINESSE  f i n e^ s
FINETTE  f i n e^ t
FINETTE  f i n e^ t q
FINI  f i n i
FINIE  f i n i
FINIR  f i n i r
FINIRAI  f i n i r e
FINIRAIS  f i n i r e^ z
FINIRAIT  f i n i r e^
FINIRAS  f i n i r a
FINIREZ  f i n i r e
FINIREZ-VOUS  f i n i r e v u
FINIRIEZ  f i n i r j e
FINIRONS-NOUS  f i n i r o~ n u
FINISSAIENT  f i n i s e^
FINISSAIT  f i n i s e^
FINISSANT  f i n i s a~
FINISSE  f i n i s
FINISSONS  f i n i s o~
FINISSONS-EN  f i n i s o~ z a~
FINISTÈRE  f i n i s t e^ r
FINIT  f i n i
FINS  f e~
FIOLE  f j o^ l
FIOLE  f j o^ l q
FIRENT  f i r
FIRENT  f i r t
FIRMAMENT  f i r m a m a~
FIS  f i
FIT  f i t
FIT  f i
FIT-IL  f i t i l
FIXAIS  f i k s e^
FIXAIT  f i k s e^
FIXE  f i k s q
FIXE  f i k s
FIXEMENT  f i k s x^ m a~
FIXER  f i k s e
FIXEREZ  f i k s x^ r e
FIXES  f i k s
FIXITÉ  f i k s i t e
FIXÉ  f i k s e
FIXÉE  f i k s e
FIXÉS  f i k s e
FIÈRE  f j e^ r
FIÈREMENT  f j e^ r m a~
FIÈRES  f j e^ r
FIÈVRE  f j e^ v r q
FIÈVRE  f j e^ v r
FIÉVREUSE  f j e v r x z
FLA-FLA  f l a f l a
FLACON  f l a k o~
FLACONS  f l a k o~ z
FLAGRANT  f l a g r a~ t
FLAGRANT  f l a g r a~
FLAIRAIT  f l e^ r e^
FLAIRENT  f l e^ r
FLAIRÉ  f l e r e
FLAMBAIT  f l a~ b e^
FLAMBAIT  f l a~ b e^ t
FLAMBANT  f l a~ b a~
FLAMBANTE  f l a~ b a~ t
FLAMBEAU  f l a~ b o
FLAMBEAUX  f l a~ b o
FLAMBER  f l a~ b e
FLAMBOIEMENT  f l a~ b w a m a~
FLAMBOYAIT  f l a~ b w a j e^ t
FLAMBOYANT  f l a~ b w a j a~
FLAMBOYANTE  f l a~ b w a j a~ t
FLAMBOYANTS  f l a~ b w a j a~
FLAMBÉ  f l a~ b e
FLAMME  f l a m
FLAMMES  f l a m
FLANELLE  f l a n e^ l q
FLANQUAIENT  f l a~ k e^
FLANQUÉ  f l a~ k e
FLANQUÉE  f l a~ k e
FLAQUE  f l a k
FLATTA  f l a t a
FLATTANT  f l a t a~
FLATTE  f l a t
FLATTER  f l a t e
FLATTERA  f l a t r a
FLATTERIE  f l a t x^ r i
FLATTERIE  f l a t r i
FLATTERIES  f l a t x^ r i z
FLATTERIES  f l a t r i
FLATTEUR  f l a t x^ r
FLATTEURS  f l a t x^ r
FLATTEUSE  f l a t x z q
FLATTEUSE  f l a t x z
FLATTEUSES  f l a t x z
FLATTEZ  f l a t e
FLATTÉ  f l a t e
FLATTÉE  f l a t e
FLEGME  f l e^ g m
FLEUR  f l x^ r
FLEUR-DE-MARIE  f l x^ r d x^ m a r i
FLEURIES  f l x^ r i
FLEURIRENT  f l x^ r i r
FLEURIS  f l x^ r i
FLEURS  f l x^ r
FLEURS  f l x^ r z
FLEUVE  f l x^ v
FLEXIBLES  f l e^ k s i b l
FLORE  f l o^ r
FLORESTAN  f l o^ r e^ s t a~
FLORIDE  f l o^ r i d q
FLOT  f l o
FLOTS  f l o
FLOTTAIENT  f l o^ t e^
FLOTTAIT  f l o^ t e^
FLOTTANT  f l o^ t a~ t
FLOTTANTS  f l o^ t a~
FLOTTE  f l o^ t
FLOTTER  f l o^ t e
FLOTTER  f l o^ t e r
FLOTTÉ  f l o^ t e
FLOTTÉE  f l o^ t e
FLUXION  f l y k s j o~
FLÂNANT  f l a n a~
FLÂNER  f l a n e
FLÂNEUR  f l a n x^ r
FLÂNEUSE  f l a n x z q
FLÂNEZ  f l a n e
FLÈCHES  f l e^ s^
FLÈCHES  f l e^ s^ z
FLÉCHIT  f l e s^ i t
FLÉTRIE  f l e t r i
FLÉTRIR  f l e t r i r
FLÉTRISSANT  f l e t r i s a~
FLÉTRISSANTE  f l e t r i s a~ t
FLÉTRISSENT  f l e t r i s
FLÉTRISSURE  f l e t r i s y r
FLÉTRISSURES  f l e t r i s y r
FLÉTRIT  f l e t r i
FLÛTEUR  f l y t x^ r
FOI  f w a
FOIRES  f w a r
FOIS  f w a
FOIS  f w a z
FOIS-CI  f w a s i
FOIS-LÀ  f w a l a
FOL  f o^ l
FOLIE  f o^ l i
FOLIES  f o^ l i
FOLLE  f o^ l
FOLLE  f o^ l q
FOLLEMENT  f o^ l m a~
FOLLEMENT  f o^ l q m a~ t
FOLLES  f o^ l x^ z
FOLLES  f o^ l q
FOLLES  f o^ l
FOLLETS  f o^ l e^
FONBONNE  f o~ b o^ n
FONBONNE  f o~ b o^ n q
FONCIÈREMENT  f o~ s j e^ r m a~
FONCTIONNA  f o~ k s j o^ n a
FONCTIONNENT  f o~ k s j o^ n
FONCTIONS  f o~ k s j o~
FONCÉ  f o~ s e
FONCÉE  f o~ s e
FOND  f o~
FOND  f o~ t
FONDAIT  f o~ d e^
FONDANT  f o~ d a~ t
FONDER  f o~ d e
FONDEZ-VOUS  f o~ d e v u
FONDIS  f o~ d i z
FONDIT  f o~ d i t
FONDRE  f o~ d r q
FONDRE  f o~ d r
FONDS  f o~
FONDU  f o~ d y
FONDÉ  f o~ d e
FONDÉES  f o~ d e
FONDÉS  f o~ d e
FONT  f o~
FONT  f o~ t
FONTE  f o~ t
FONTS  f o~
FOOCHOW  f u t s^ o
FORCE  f o^ r s q
FORCE  f o^ r s
FORCENT  f o^ r s
FORCENÉS  f o^ r s x^ n e
FORCER  f o^ r s e r
FORCER  f o^ r s e
FORCERA  f o^ r s x^ r a
FORCERAIT  f o^ r s x^ r e^ t
FORCEREZ  f o^ r s x^ r e
FORCES  f o^ r s
FORCES  f o^ r s x^ z
FORCES  f o^ r s q
FORCEZ  f o^ r s e
FORCÉ  f o^ r s e
FORCÉE  f o^ r s e
FORCÉES  f o^ r s e
FORCÉMENT  f o^ r s e m a~
FORCÉS  f o^ r s e
FORFAITS  f o^ r f e^
FORFANTERIE  f o^ r f a~ t r i
FORFANTERIE  f o^ r f a~ t x^ r i
FORFANTERIES  f o^ r f a~ t x^ r i
FORGE  f o^ r z^
FORGERAIS  f o^ r z^ x^ r e^
FORGERON  f o^ r z^ x^ r o~
FORGERONS  f o^ r z^ x^ r o~
FORMAIENT  f o^ r m e^
FORMAIENT  f o^ r m e^ t
FORMAIT  f o^ r m e^
FORME  f o^ r m
FORME  f o^ r m q
FORMEL  f o^ r m e^ l
FORMENT  f o^ r m
FORMENT  f o^ r m t
FORMENT  f o^ r m q
FORMER  f o^ r m e
FORMES  f o^ r m q
FORMES  f o^ r m
FORMES  f o^ r m z
FORMIDABLE  f o^ r m i d a b l
FORMIDABLE  f o^ r m i d a b l q
FORMIDABLEMENT  f o^ r m i d a b l x^ m a~
FORMIDABLES  f o^ r m i d a b l
FORMIDABLES  f o^ r m i d a b l x^ z
FORMOSE  f o^ r m o z
FORMULAIT  f o^ r m y l e^
FORMÈRENT  f o^ r m e^ r
FORMÉ  f o^ r m e
FORMÉE  f o^ r m e
FORMÉES  f o^ r m e
FORT  f o^ r t
FORT  f o^ r
FORTE  f o^ r t
FORTE  f o^ r t q
FORTEMENT  f o^ r t x^ m a~ t
FORTEMENT  f o^ r t x^ m a~
FORTERESSE  f o^ r t x^ r e^ s
FORTES  f o^ r t q
FORTES  f o^ r t
FORTIFIANTES  f o^ r t i f j a~ t
FORTIFICATIONS  f o^ r t i f i k a s j o~ z
FORTIFIER  f o^ r t i f j e
FORTIFIERAI-JE  f o^ r t i f i r e^ z^
FORTS  f o^ r
FORTUITE  f o^ r t h i t
FORTUNE  f o^ r t y n
FORTUNE  f o^ r t y n q
FORTUNES  f o^ r t y n q
FORÇAIT  f o^ r s e^
FORÇANT  f o^ r s a~
FORÇAT  f o^ r s a
FORÇATS  f o^ r s a
FORÊT  f o^ r e^
FORÊTS  f o^ r e^
FOSSETTE  f o s e^ t
FOSSETTES  f o s e^ t
FOSSILES  f o s i l q
FOSSÉ  f o s e
FOSSÉS  f o s e
FOU  f u
FOU-CHAO  f u t s^ a o
FOUDRE  f u d r
FOUDRE  f u d r x^
FOUDROYAIT  f u d r w a j e^
FOUDROYANTE  f u d r w a j a~ t
FOUDROYÉ  f u d r w a j e
FOUET  f w e^
FOUETS  f w e^
FOUETTA  f w e^ t a
FOUETTAIENT  f w e^ t e^
FOUETTAIT  f w e^ t e^
FOUETTÉE  f w e t e
FOUGUEUSES  f u g x z
FOUGUEUX  f u g x
FOUILLA  f u j a
FOUILLAIT  f u j e^ t
FOUILLENT  f u j
FOUILLIS  f u j i
FOUILLÉ  f u j e
FOUINE  f w i n q
FOULARD  f u l a r
FOULE  f u l
FOULE  f u l q
FOULENT  f u l t
FOULER  f u l e r
FOULÉE  f u l e
FOUR  f u r
FOURBE  f u r b
FOURBERIE  f u r b x^ r i
FOURBERIES  f u r b x^ r i
FOURBES  f u r b x^ z
FOURCHETTES  f u r s^ e^ t
FOURLINE  f u r l i n q
FOURLINE  f u r l i n
FOURLOUREUR  f u r l u r x^ r
FOURMILLENT  f u r m i j
FOURMILLER  f u r m i j e
FOURMILLERONT  f u r m i j r o~
FOURNAISE  f u r n e^ z q
FOURNAISE  f u r n e^ z
FOURNAISE-LÀ  f u r n e^ z l a
FOURNEAU  f u r n o
FOURNI  f u r n i
FOURNIR  f u r n i r
FOURNIRAI  f u r n i r e
FOURNIS  f u r n i
FOURNISSAIT  f u r n i s e^
FOURNITURE  f u r n i t y r
FOURNITURES  f u r n i t y r
FOURREAU  f u r o
FOURRER  f u r e
FOURRURE  f u r y r
FOURRÉ  f u r e
FOURRÉE  f u r e
FOURRÉS  f u r e
FOURS  f u r z
FOURS  f u r
FOUS  f u
FOYER  f w a j e
FRACAS  f r a k a
FRACS  f r a k q
FRACTURE  f r a k t y r
FRACTURÉ  f r a k t y r e
FRAGMENT  f r a g m a~
FRAGMENTS  f r a g m a~
FRAIS  f r e^
FRAIS  f r e^ z
FRANC  f r a~
FRANCE  f r a~ s
FRANCHE  f r a~ s^
FRANCHEMENT  f r a~ s^ m a~
FRANCHEMENT  f r a~ s^ m a~ t
FRANCHEMENT  f r a~ s^ x^ m a~
FRANCHEMENT  f r a~ s^ q m a~ t
FRANCHIS  f r a~ s^ i
FRANCHISE  f r a~ s^ i z
FRANCHISE  f r a~ s^ i z q
FRANCHIT  f r a~ s^ i
FRANCISCO  f r a~ s i s k o
FRANCOEUR  f r a~ k x^ r
FRANCS  f r a~
FRANCS  f r a~ z
FRANGE  f r a~ z^
FRANGES  f r a~ z^
FRANGÉE  f r a~ z^ e
FRANGÉS  f r a~ z^ e
FRANÇAIS  f r a~ s e^
FRANÇAISE  f r a~ s e^ z
FRANÇAISES  f r a~ s e^ z
FRANÇOIS  f r a~ s w a
FRAPPA  f r a p a
FRAPPAIT  f r a p e^
FRAPPANT  f r a p a~
FRAPPANTE  f r a p a~ t
FRAPPE  f r a p
FRAPPER  f r a p e
FRAPPÈRENT  f r a p e^ r
FRAPPÉ  f r a p e
FRAPPÉE  f r a p e
FRAPPÉS  f r a p e
FRAUDE  f r o d q
FRAYER  f r e^ j e r
FRAYEUR  f r e^ j x^ r
FRAYEURS  f r e^ j x^ r
FRAÎCHE  f r e^ s^
FRAÎCHEMENT  f r e^ s^ m a~
FRAÎCHEMENT  f r e^ s^ x^ m a~
FRAÎCHES  f r e^ s^
FRAÎCHES  f r e^ s^ z
FRAÎCHES  f r e^ s^ x^ z
FRAÎCHEUR  f r e^ s^ x^ r
FREDONNANT  f r x^ d o^ n a~
FREIN  f r e~
FRELATÉS  f r x^ l a t e
FRESQUE  f r e^ s k q
FRIAND  f r i j a~
FRICASSÉE  f r i k a s e
FRICASSÉES  f r i k a s e
FRICHE  f r i s^
FRICOT  f r i k o
FRICOTANT  f r i k o^ t a~
FRICOTE  f r i k o^ t q
FRICOTERAI  f r i k o^ t x^ r e
FRILEUX  f r i l x
FRIME  f r i m
FRIME  f r i m q
FRIMOUSSE  f r i m u s
FRINGALE  f r e~ g a l
FRIPIERS  f r i p j e
FRIPONNERIE  f r i p o^ n r i
FRIPONNERIE  f r i p o^ n x^ r i
FRIPONS  f r i p o~
FRIRE  f r i r
FRISAIENT  f r i z e^
FRISES  f r i z
FRISSON  f r i s o~
FRISSONNA  f r i s o^ n a
FRISSONNAI  f r i s o^ n e
FRISSONNAIENT  f r i s o^ n e^ t
FRISSONNANT  f r i s o^ n a~
FRISSONNE  f r i s o^ n
FRISSONNER  f r i s o^ n e
FRITES  f r i t
FRITURE  f r i t y r
FRIVOLES  f r i v o^ l
FROID  f r w a
FROID  f r w a t
FROIDE  f r w a d
FROIDE  f r w a d q
FROIDEMENT  f r w a d m a~
FROIDEMENT  f r w a d x^ m a~
FROIDEMENT  f r w a d q m a~
FROIDEMENT  f r w a d m a~ t
FROIDES  f r w a d
FROIDES  f r w a d q
FROIDEUR  f r w a d x^ r
FROIDS  f r w a z
FROIDS  f r w a
FROIDURE  f r w a d y r
FROMAGE  f r o^ m a z^
FROMAGES  f r o^ m a z^ q
FRONCÈRENT  f r o~ s e^ r
FRONCÉ  f r o~ s e
FRONT  f r o~
FRONTIÈRE  f r o~ t j e^ r
FRONTS  f r o~
FRONÇANT  f r o~ s a~
FROTTA  f r o^ t a
FROTTANT  f r o^ t a~
FROTTERA  f r o^ t x^ r a
FROTTERONS  f r o^ t x^ r o~
FRUGAL  f r y g a l
FRUIT  f r h i
FRUITIER  f r h i t j e
FRUITS  f r h i
FRÈRE  f r e^ r
